"taskId","sampleId","displayOrder","placeboOrder","placeboStepIndex","placeboStepTokens","targetStepIndex","targetStepTokens","lengthRatio","rating","position","stepTypeLabel","placeboCorrect","finalAnswer","groundTruthAnswer","generatorStatus","visibleOutputTokens","judgeReason","judgeModel"
"prm-c1da18d5eb32eafe|placebo1|step15","prm-c1da18d5eb32eafe","1","1","15","66","7","71","0.929577","1","early","essential","False","","504","logical_break","745","No candidate final answer was produced.","rule:no-answer"
"prm-c1da18d5eb32eafe|placebo2|step8","prm-c1da18d5eb32eafe","1","2","8","66","7","71","0.929577","1","early","essential","False","$a_1 = 12$","504","completed","234","The candidate answer is not mathematically equivalent to the reference answer.","qwen/qwen3-8b"
"prm-c1da18d5eb32eafe|placebo3|step19","prm-c1da18d5eb32eafe","1","3","19","57","7","71","0.802817","1","early","essential","False","","504","logical_break","166","No candidate final answer was produced.","rule:no-answer"
"prm-c1da18d5eb32eafe|placebo4|step3","prm-c1da18d5eb32eafe","1","4","3","69","7","71","0.971831","1","early","essential","False","126","504","completed","250","The candidate answer 126 is not mathematically equivalent to the reference answer 504.","qwen/qwen3-8b"
"prm-23439bf6a10e0389|placebo1|step17","prm-23439bf6a10e0389","2","1","17","25","18","24","1.041667","1","middle","redundant","True","9","9","completed","117","The number of positive divisors of 196 is 9, which matches the reference answer.","qwen/qwen3-8b"
"prm-23439bf6a10e0389|placebo2|step0","prm-23439bf6a10e0389","2","2","0","21","18","24","0.875","1","middle","redundant","True","9","9","completed","235","Both answers are equal to 9.","qwen/qwen3-8b"
"prm-23439bf6a10e0389|placebo3|step13","prm-23439bf6a10e0389","2","3","13","21","18","24","0.875","1","middle","redundant","True","9","9","completed","298","The candidate answer matches the reference answer.","qwen/qwen3-8b"
"prm-23439bf6a10e0389|placebo4|step1","prm-23439bf6a10e0389","2","4","1","27","18","24","1.125","1","middle","redundant","True","9","9","completed","392","Both answers are equal to 9.","qwen/qwen3-8b"
"prm-7c4b728ac8b7ff8c|placebo1|step2","prm-7c4b728ac8b7ff8c","4","1","2","24","6","20","1.2","0","early","redundant","True","83","83","completed","162","Both answers are equal to 83.","qwen/qwen3-8b"
"prm-7c4b728ac8b7ff8c|placebo2|step13","prm-7c4b728ac8b7ff8c","4","2","13","23","6","20","1.15","0","early","redundant","False","23","83","completed","223","The equation (3x - 9)/2 = x + 37 leads to x = 83, but the candidate answer is 23.","qwen/qwen3-8b"
