output_id,condition,judge_label,det_label,det_tier,candidate,truth
prm-b4172ae8c86b6f76|run2|control,control,1,0,mismatch,$x = 9$,9
prm-734c17ddd0cff62a|placebo3|step0,placebo_delete,1,0,mismatch,$\frac{16}{27}$ gallons,\frac{16}{27}
prm-0a02ab06b394a416|run1|control,control,1,0,mismatch,\boxed{\frac{6}{5}},\frac65
prm-0a02ab06b394a416|run2|control,control,1,0,mismatch,\boxed{\frac{6}{5}},\frac65
prm-0a02ab06b394a416|run3|control,control,1,0,mismatch,\boxed{\frac{6}{5}},\frac65
prm-0a02ab06b394a416|run3|deleted,target_delete,1,0,mismatch,\boxed{\frac{6}{5}},\frac65
prm-859d5c93d5ea0f57|run1|deleted,target_delete,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-859d5c93d5ea0f57|run2|deleted,target_delete,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-859d5c93d5ea0f57|run3|deleted,target_delete,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-859d5c93d5ea0f57|run4|deleted,target_delete,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-859d5c93d5ea0f57|placebo1|step4,placebo_delete,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \\,\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-0835351a60d3a191|run1|control,control,0,1,string_match,\boxed{\frac{8}{15}},\frac{8}{15}
prm-0835351a60d3a191|placebo2|step7,placebo_delete,0,1,string_match,\boxed{\frac{8}{15}},\frac{8}{15}
prm-6ecf2965f1e68c18|run1|control,control,1,0,mismatch,\frac{7!}{2! \cdot 2!} = 1260,1260
prm-6ecf2965f1e68c18|run2|control,control,1,0,mismatch,\frac{7!}{2! \cdot 2!} = 1260,1260
prm-6ecf2965f1e68c18|run3|control,control,1,0,mismatch,\frac{7!}{2! \cdot 2!} = 1260,1260
prm-2d92ce0491f2f56a|run2|control,control,1,0,mismatch,The quotient is $x^5 - x^4 + x^3 - x^2 + x - 1$.,x^5 - x^4 + x^3 - x^2 + x - 1
prm-666a954e3bca4a2f|run4|control,control,0,1,sympy_equal,\boxed{\frac{2240}{78125}},\frac{448}{15625}
prm-14c0129055d497b2|run1|control,control,1,0,mismatch,cot x,\cot x
prm-14c0129055d497b2|run2|control,control,1,0,mismatch,cot x,\cot x
prm-14c0129055d497b2|run3|control,control,1,0,mismatch,cot x,\cot x
prm-14c0129055d497b2|run4|control,control,1,0,mismatch,cot x,\cot x
prm-9a884b78e7527ff9|run1|control,control,1,0,mismatch,2 * 5! * 5! * 1! = 2 * 120 * 120 * 1 = 28800,28800
prm-9a884b78e7527ff9|run1|deleted,target_delete,1,0,mismatch,2 * 5! * 5! * 1! = 2 * 120 * 120 * 1 = 28800,28800
prm-9a884b78e7527ff9|run2|control,control,1,0,mismatch,2 * 5! * 5! * 1! = 2 * 120 * 120 * 1 = 28800,28800
prm-9a884b78e7527ff9|run2|deleted,target_delete,1,0,mismatch,2 * 5! * 5! * 1! = 2 * 120 * 120 * 1 = 28800,28800
prm-9a884b78e7527ff9|run3|control,control,1,0,mismatch,2 * 5! * 5! * 1! = 2 * 120 * 120 * 1 = 28800,28800
prm-9a884b78e7527ff9|run3|deleted,target_delete,1,0,mismatch,2 * 5! * 5! * 1! = 2 * 120 * 120 * 1 = 28800,28800
prm-9a884b78e7527ff9|run4|control,control,1,0,mismatch,2 * 5! * 5! * 1! = 2 * 120 * 120 * 1 = 28800,28800
prm-9a884b78e7527ff9|run4|deleted,target_delete,1,0,mismatch,2 * 5! * 5! * 1! = 2 * 120 * 120 * 1 = 28800,28800
prm-9a884b78e7527ff9|placebo1|step4,placebo_delete,1,0,mismatch,2 * 5! * 5! * 1! = 2 * 120 * 120 * 1 = 28800,28800
prm-9a884b78e7527ff9|placebo2|step2,placebo_delete,1,0,mismatch,2! × 5! × 5! = 2 × 120 × 120 = 28800,28800
prm-236816577f8edaf6|run1|deleted,target_delete,1,0,mismatch,The original price of the shirt was $36.00.,\$36
prm-60717bf0ef4716f2|run2|control,control,0,1,string_match,\boxed{\dfrac{1}{3}},\frac{1}{3}
prm-60717bf0ef4716f2|run4|control,control,0,1,string_match,\boxed{\dfrac{1}{3}},\frac{1}{3}
prm-60717bf0ef4716f2|placebo4|step8,placebo_delete,0,1,string_match,\boxed{\dfrac{1}{3}},\frac{1}{3}
