"sampleId","displayOrder","run","rating","position","removableLabel","stepTypeLabel","controlCorrect","deletedCorrect","transition","controlTokens","deletedTokens","tokensSaved","controlStatus","deletedStatus","controlFinalAnswer","deletedFinalAnswer","groundTruthAnswer","controlJudgeReason","deletedJudgeReason"
"prm-23439bf6a10e0389","2","1","1","middle","yes","redundant","True","True","still_correct","365","127","238","completed","completed","9","9","9","Both answers are equal.","Both answers are equal to 9."
"prm-9a6f73708a6d6a9f","3","1","1","early","no","essential","True","False","correct_to_wrong","134","255","-121","completed","logical_break","-\frac{\pi}{6}","$-rac{	heta}{	heta}$","-\frac{\pi}{6}","The candidate answer matches the reference answer.","The candidate answer is not mathematically equivalent to the reference answer."
"prm-7c4b728ac8b7ff8c","4","1","0","early","yes","redundant","True","True","still_correct","60","72","-12","completed","completed","83","83","83","The candidate answer matches the reference answer.","The candidate answer matches the reference answer."
"prm-b4172ae8c86b6f76","5","1","0","early","yes","redundant","False","True","wrong_to_correct","260","444","-184","completed","completed","$\boxed{\frac{65}{2}}$","9","9","The reference answer is 9, but the candidate answer is 65/2, which is not mathematically equivalent.","Both answers are equal to 9."
"prm-3e4ac009eae25363","8","1","-1","late","yes","harmful","False","True","wrong_to_correct","139","391","-252","completed","completed","11330","1030","1030","The reference answer is 1030, but the candidate answer is 11330.","The candidate answer matches the reference answer."
"prm-734c17ddd0cff62a","9","1","1","early","no","essential","True","True","still_correct","145","224","-79","completed","completed","$\boxed{\frac{16}{27}}$","\boxed{\frac{16}{27}}","\frac{16}{27}","The candidate answer matches the reference answer.","The candidate answer matches the reference answer."
"prm-0cbc0287aab226af","10","1","0","middle","no","harmful","True","False","correct_to_wrong","412","264","148","completed","completed","66","29","66","The candidate answer matches the reference answer.","The candidate answer 29 is not mathematically equivalent to the reference answer 66."
"prm-bfc1c5c3c815660c","11","1","-1","early","no","harmful","True","True","still_correct","326","415","-89","completed","completed","-5","-5","-5","The candidate answer matches the reference answer.","The candidate answer is mathematically equivalent to the reference answer."
"prm-5464f1648525f7ea","12","1","1","middle","no","essential","True","True","still_correct","147","134","13","completed","completed","5","5","5","The vertical asymptotes are at the roots of $x^2 - 5x - 14 = 0$, which are $x = 7$ and $x = -2$. The horizontal asymptote is $y = 0$. Thus, $a + b + c = 7 + (-2) + 0 = 5$.","The vertical asymptotes are at the roots of $x^2 - 5x - 14 = 0$, which are $x = 7$ and $x = -2$. The horizontal asymptote is $y = 0$. Thus, $a + b + c = 7 + (-2) + 0 = 5$."
"prm-7a2c9794408559fd","13","1","1","late","yes","redundant","True","True","still_correct","89","91","-2","completed","completed","15","15","15","The candidate answer matches the reference answer.","The candidate answer matches the reference answer."
"prm-526e2011568d24e6","14","1","1","middle","no","essential","True","True","still_correct","124","174","-50","completed","completed","2","2","2","The candidate answer matches the reference answer.","Both answers are equal to 2."
"prm-010e43e3a679e690","15","1","1","middle","no","essential","True","True","still_correct","91","111","-20","completed","completed","2","2","2","The candidate answer matches the reference answer.","The candidate answer matches the reference answer."
