sample_key,subset,step_class,target_index,total_steps,position_bin,source_generator,gold_source,final_answer_correct,placebo_eligible,placebo_indices
gsm8k|gsm8k-41,gsm8k,first_error,1,6,early,Meta-Llama-3-8B-Instruct,dataset,0,1,"[0, 2, 4]"
gsm8k|gsm8k-293,gsm8k,first_error,0,4,early,Qwen2.5-Math-7B-Instruct,dataset,1,0,[]
gsm8k|gsm8k-399,gsm8k,first_error,0,6,early,Qwen2.5-Math-72B-Instruct,dataset,1,1,[2]
gsm8k|gsm8k-183,gsm8k,first_error,1,5,early,Meta-Llama-3-8B-Instruct,dataset,0,1,[0]
gsm8k|gsm8k-180,gsm8k,first_error,1,5,early,Qwen2.5-Math-7B-Instruct,dataset,0,1,"[2, 3]"
gsm8k|gsm8k-1,gsm8k,first_error,1,7,early,Qwen2.5-Math-7B-Instruct,dataset,0,0,[]
gsm8k|gsm8k-73,gsm8k,first_error,1,6,early,Llama-3.1-8B-Instruct,dataset,0,1,[2]
gsm8k|gsm8k-49,gsm8k,first_error,2,16,early,Meta-Llama-3-70B-Instruct,dataset,0,1,"[1, 3, 4]"
gsm8k|gsm8k-179,gsm8k,first_error,1,5,early,Meta-Llama-3-70B-Instruct,dataset,0,0,[]
gsm8k|gsm8k-167,gsm8k,first_error,0,5,early,Llama-3.1-8B-Instruct,dataset,0,1,"[2, 3]"
gsm8k|gsm8k-157,gsm8k,first_error,0,3,early,Llama-3.1-8B-Instruct,dataset,0,0,[]
gsm8k|gsm8k-145,gsm8k,first_error,0,4,early,Meta-Llama-3-70B-Instruct,dataset,0,1,[2]
gsm8k|gsm8k-60,gsm8k,first_error,1,6,early,Llama-3.1-8B-Instruct,dataset,0,1,[3]
gsm8k|gsm8k-141,gsm8k,first_error,2,7,middle,Qwen2.5-Math-72B-Instruct,dataset,0,1,"[1, 3, 0]"
gsm8k|gsm8k-264,gsm8k,first_error,1,4,middle,Llama-3.1-70B-Instruct,dataset,1,1,[2]
