selection_seed,audit_id,case_family,family_rank,step_id,problem_id,output_id,pair_id,pair_transition_automated,condition,run_id,placebo_order,placebo_step_index,generator_status,visible_tokens,judge_label,judge_reason,prior_audit_id,prior_human_label
20260723,QE001,high_rated_redundant_ambiguity,1,prm-fa241fc7e4a6f419,problem-1a7c478bb9ae0d78,prm-fa241fc7e4a6f419|run2|deleted,prm-fa241fc7e4a6f419|run2,correct_to_wrong,target_delete,2,,,completed,144,0,"The candidate answer is incorrect; the correct value is 36, not 40.",JA155,Incorrect
20260723,QE002,negative_anchor,2,prm-3fb0a1041b0e6522,problem-d1c9cde932510127,prm-3fb0a1041b0e6522|run2|control,prm-3fb0a1041b0e6522|run2,wrong_to_correct,control,2,,,completed,74,0,"The candidate answer is incorrect. The remainder of 2004 divided by 12 is 0, not 4.",,
20260723,QE003,high_rated_redundant_ambiguity,1,prm-fa241fc7e4a6f419,problem-1a7c478bb9ae0d78,prm-fa241fc7e4a6f419|run4|deleted,prm-fa241fc7e4a6f419|run4,correct_to_wrong,target_delete,4,,,completed,150,0,"The reference answer is 36, but the candidate answer is 40.",,
20260723,QE004,high_rated_redundant_ambiguity,1,prm-fa241fc7e4a6f419,problem-1a7c478bb9ae0d78,prm-fa241fc7e4a6f419|run1|deleted,prm-fa241fc7e4a6f419|run1,correct_to_wrong,target_delete,1,,,completed,144,0,"The reference answer is 36, but the candidate answer is 40.",,
20260723,QE005,stable_correct_harmed,2,prm-ab1c7130781f0c6b,problem-d699cb734c33a748,prm-ab1c7130781f0c6b|run1|deleted,prm-ab1c7130781f0c6b|run1,correct_to_wrong,target_delete,1,,,completed,101,0,"The candidate answer is incorrect. The correct answer is 36 seconds, not 180.",,
20260723,QE006,stable_correct_harmed,2,prm-ab1c7130781f0c6b,problem-d699cb734c33a748,prm-ab1c7130781f0c6b|run2|deleted,prm-ab1c7130781f0c6b|run2,correct_to_wrong,target_delete,2,,,completed,101,0,"The candidate answer is incorrect. The correct answer is 36, not 180.",,
20260723,QE007,negative_anchor,3,prm-77fc0b169d8585bc,problem-dedb35fff0a06a5e,prm-77fc0b169d8585bc|placebo3|step11,,,placebo_delete,P3,3,11,completed,198,0,"The number of integer-coordinate points strictly in the interior is 63, not 32.",,
20260723,QE008,generic_restart,2,prm-2f5e5f1e6dacb0f7,problem-ded0ffd3643d0130,prm-2f5e5f1e6dacb0f7|run4|deleted,prm-2f5e5f1e6dacb0f7|run4,wrong_to_correct,target_delete,4,,,completed,86,1,The candidate answer matches the reference answer.,,
20260723,QE009,negative_anchor,1,prm-2413c903941648a5,problem-118be303d7abffbe,prm-2413c903941648a5|placebo4|step17,,,placebo_delete,P4,4,17,completed,120,0,The candidate answer is not mathematically equivalent; the correct answer is $\frac{13}{6}$.,,
20260723,QE010,generic_restart,1,prm-dfdb549c682c7822,problem-44174d8b3df5f07b,prm-dfdb549c682c7822|run1|deleted,prm-dfdb549c682c7822|run1,wrong_to_correct,target_delete,1,,,completed,206,1,The candidate answer matches the reference answer.,,
20260723,QE011,negative_anchor,1,prm-2413c903941648a5,problem-118be303d7abffbe,prm-2413c903941648a5|placebo1|step9,,,placebo_delete,P1,1,9,completed,328,0,"The candidate answer is incorrect; the correct simplified fraction is $\frac{13}{6}$, not $\frac{169}{36}$.",,
20260723,QE012,negative_anchor,3,prm-77fc0b169d8585bc,problem-dedb35fff0a06a5e,prm-77fc0b169d8585bc|placebo2|step12,,,placebo_delete,P2,2,12,completed,187,0,The candidate answer 16 is not mathematically equivalent to the reference answer 63.,,
20260723,QE013,negative_anchor,3,prm-77fc0b169d8585bc,problem-dedb35fff0a06a5e,prm-77fc0b169d8585bc|run1|deleted,prm-77fc0b169d8585bc|run1,wrong_to_correct,target_delete,1,,,completed,258,1,The candidate answer is mathematically equivalent to the reference answer.,,
20260723,QE014,negative_anchor,1,prm-2413c903941648a5,problem-118be303d7abffbe,prm-2413c903941648a5|run4|control,prm-2413c903941648a5|run4,wrong_to_correct,control,4,,,completed,932,0,"The candidate answer is not mathematically equivalent to the reference answer. The reference answer is \frac{13}{6}, while the candidate answer is \boxed{\dfrac{169}{36}}.",,
20260723,QE015,stable_correct_harmed,1,prm-0700321e0038e3d1,problem-3d1f09ed5cfd53dc,prm-0700321e0038e3d1|run4|deleted,prm-0700321e0038e3d1|run4,correct_to_wrong,target_delete,4,,,completed,106,0,"The candidate answer is incorrect. The correct value of x is -79, but the reference answer is 83.",,
20260723,QE016,high_rated_redundant_ambiguity,1,prm-fa241fc7e4a6f419,problem-1a7c478bb9ae0d78,prm-fa241fc7e4a6f419|run4|control,prm-fa241fc7e4a6f419|run4,correct_to_wrong,control,4,,,completed,61,1,The candidate answer matches the reference answer.,,
20260723,QE017,generic_restart,2,prm-2f5e5f1e6dacb0f7,problem-ded0ffd3643d0130,prm-2f5e5f1e6dacb0f7|run3|control,prm-2f5e5f1e6dacb0f7|run3,wrong_to_correct,control,3,,,completed,100,0,"The sum of 1 to 10 is 55, and 55 mod 9 is 1, which matches the reference answer. The candidate answer is incorrect.",,
20260723,QE018,generic_restart,2,prm-2f5e5f1e6dacb0f7,problem-ded0ffd3643d0130,prm-2f5e5f1e6dacb0f7|run3|deleted,prm-2f5e5f1e6dacb0f7|run3,wrong_to_correct,target_delete,3,,,completed,86,1,The candidate answer matches the reference answer.,,
20260723,QE019,negative_anchor,1,prm-2413c903941648a5,problem-118be303d7abffbe,prm-2413c903941648a5|run3|deleted,prm-2413c903941648a5|run3,wrong_to_correct,target_delete,3,,,completed,630,1,The candidate answer \dfrac{13}{6} is mathematically equivalent to the reference answer \frac{13}{6}.,,
20260723,QE020,generic_restart,2,prm-2f5e5f1e6dacb0f7,problem-ded0ffd3643d0130,prm-2f5e5f1e6dacb0f7|run2|control,prm-2f5e5f1e6dacb0f7|run2,wrong_to_correct,control,2,,,completed,102,0,The candidate answer is incorrect; the correct remainder is 1.,,
20260723,QE021,stable_correct_harmed,2,prm-ab1c7130781f0c6b,problem-d699cb734c33a748,prm-ab1c7130781f0c6b|placebo2|step3,,,placebo_delete,P2,2,3,completed,231,1,The candidate answer matches the reference answer.,,
20260723,QE022,negative_anchor,3,prm-77fc0b169d8585bc,problem-dedb35fff0a06a5e,prm-77fc0b169d8585bc|run4|deleted,prm-77fc0b169d8585bc|run4,wrong_to_correct,target_delete,4,,,completed,258,1,The candidate answer is mathematically equivalent to the reference answer.,,
